Slang,Meaning,pagerank_score
gf,Girlfriend,0.000184983
welp,Informal expression indicating sadness or disappointment,0.00018297
nsfw,Abbreviation for 'not safe for work',0.000181976
hbu,Abbreviation for 'how about you?',0.000181613
weeb,Derogotary word to describe those into Japanese culture such as anime,0.000181545
xd,An expression for a laughing face and an alternative to 'lol',0.000180984
nani,Japanese for 'what',0.000179368
hehe,Another way of saying 'haha',0.000171506
emotes,Refers to the dances present in the fortnite game used to taunt opponents,0.000170554
ofc,Abbreviation for 'of course',0.000170346
wbu,Abbreviation for 'what about you',0.000168058
hihi,Another way of saying 'hi',0.000168017
congrats,Another way of saying 'congratulations',0.000167015
nom,Refers to the action of eating something,0.000166294
aww,Expression for when someone finds something cute,0.000165525
abt,Slang for 'about',0.000165221
heya,Hey you,0.000161116
boop,Just an expression for affectionately poking someone,0.000159426
toon,Refers to a character in a role playing game,0.000159401
emoji,Refers to the use of emojis,0.000158786
aw,Another way of saying 'aww',0.000158332
ngl,Abbreviation of 'not going to lie',0.000156901
cutie,Refers to someone cute,0.000156719
oki,Another way of saying 'okay',0.000156514
dw,Abbreviation for 'don’t worry',0.000155347
ohh,Another way of saying 'oh',0.00015289
gon,Going to,0.000151799
irl,In real life,0.000150896
fav,Favorite,0.000150708
gimme,Give me,0.000150405
fortnite,A popular video game,0.000149136
legit,Expression used when something is real,0.00014777
ahh,Either an expression of realization or a better way of saying 'ass',0.000147299
wot,What,0.000146305
doin,Doing,0.000145417
tryna,Trying to,0.000144758
meh,Expression for when one has an indifferent reaction towards something,0.000143919
gif,Refers to .gif files which are short videos that play on loop,0.000143223
rlly,Really,0.000141248
ooh,Another way of saying 'ooh',0.000140809
thx,Another way of saying 'thanks',0.000139568
dang,Expression for when something happens. An alternative to 'damn',0.000139136
ugh,Expression for when someone is frustrated / angry with something,0.000137719
heyo,A slang for 'hey yo' or alternative to saying 'whatsup',0.000136265
gtg,Got to go,0.000134107
aye,Another way of saying 'ayy',0.000133941
yeet,An expression to indicate enthusiasm OR to throw / chuck something,0.000133487
brb,Be right back,0.000132818
gud,Good,0.000131944
af,Abbreaviation for 'as fuck',0.000130535
ahhh,Another way of saying 'ahh',0.000127256
manga,Refers to Japanese comics,0.000126066
yup,Yes,0.00012581
ight,Another way of saying 'aight' which is short for alright,0.000124628
senpai,Refers to a master of something,0.000123593
alr,A shorter way of saying 'already',0.000121836
waifu,Refers to a wife or romantic partner,0.000121314
hentai,Japanese pornography with animated characters,0.000120319
osu,A popular Japanese video game,0.00011952
sooo,Another way of saying 'so',0.000118881
kek,An alternative to 'lol' or 'haha' to indicate laughter in relation to something funny,0.00011825
memes,Refers to 'memes' (pictures with funny captions),0.000117904
ay,Another way of saying 'ayy' or 'ey',0.000117395
feels,An overwhelming emotional reaction ,0.000116073
wassup,Whats up,0.000114273
bday,Birthday,0.000111814
bf,Boyfriend,0.000111189
si,Spanish for 'yes',0.00011074
homie,A good friend and another way of saying 'home boy',0.000110606
yooo,"A longer way of saying 'Yo,' an informal greeting",0.000110498
okie,Another way of saying 'okay',0.000110482
bai,Another way of saying 'bye',0.000108584
mic,"Refers to someone's microphone, particularly related to voice calls",0.00010766
spotify,A popular music streaming platform,0.000107322
ps,An additional thought OR short for 'photoshop' or 'playstation',0.000107195
dunno,Don’t know,0.000107144
yikes,Expression for when something bad happens,0.000106859
ello,Another way of saying 'hello',0.000106466
min,Refers to 'minute' and in context one would say 'wait a min',0.000105763
mi,Another way of saying 'me',0.000104411
chu,Another way of saying 'you' and in context 'with chu' (with you),0.000103285
lmaoo,Another way of saying 'lmao' (laughing my ass off),0.000103266
hiya,Hi you,0.000102874
uhm,Another way of saying 'umm' (a filler word),0.00010266
soo,Another way of saying 'so',0.000102537
smol,A slang for the word 'small',0.000101742
lmaooo,Another way of saying 'lmao' (laughing my ass off),0.000101274
plz,Another way of saying 'pls' (please),0.00010091
stfu,Shut the fuck up,9.95E-05
rn,Right now,9.93E-05
oops,Expression for when one makes a mistake,9.89E-05
idc,I don’t care,9.83E-05
umm,A filler word for when one is thinking,9.70E-05
smth,Something,9.62E-05
ez,Easy,9.50E-05
noni,Another way of saying 'nani' (Japanese for 'what'),9.34E-05
heh,"An expression for when one is confused, similar to 'huh'",9.34E-05
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
