type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect
talk,,,145271,0,735,0,2075.939,0.001
doesn,,,144205,0,734,0,2060.7,0.001
discord,,,142121,0,734,0,2030.91,0.001
actually,,,140390,0,732,0,2006.166,0.001
sure,,,139180,0,735,0,1988.869,0.001
nah,,,138797,0,731,0,1983.395,0.001
whats,,,138709,0,731,0,1982.137,0.001
take,,,137450,0,733,0,1964.14,0.001
look,,,135318,0,731,0,1933.664,0.001
again,,,135291,0,733,0,1933.278,0.001
use,,,133753,0,731,0,1911.294,0.001
feel,,,132871,0,733,0,1898.687,0.001
old,,,131461,0,733,0,1878.532,0.001
girl,,,131237,0,732,0,1875.33,0.001
join,,,131129,0,731,0,1873.786,0.001
men,,,129873,0,730,0,1855.833,0.001
his,,,128018,0,733,0,1829.318,0.001
thing,,,127287,0,733,0,1818.869,0.001
than,,,127004,0,733,0,1814.824,0.001
watch,,,126262,0,733,0,1804.218,0.001
better,,,125970,0,735,0,1800.045,0.001
vc,,,125772,0,729,0,1797.214,0.001
pfp,,,124298,0,727,0,1776.146,0.001
please,,,121546,0,732,0,1736.81,0.001
didnt,,,120995,0,732,0,1728.934,0.001
rn,,,120199,0,734,0,1717.557,0.001
send,,,120102,0,729,0,1716.171,0.001
eli,,,119427,0,394,0,1706.523,0.001
ban,,,119021,0,723,0,1700.72,0.001
ill,,,118110,0,733,0,1687.699,0.001
other,,,117239,0,733,0,1675.249,0.001
ve,,,117213,0,735,0,1674.878,0.001
first,,,116628,0,732,0,1666.516,0.001
yo,,,116358,0,730,0,1662.657,0.001
omg,,,115677,0,731,0,1652.924,0.001
tell,,,115259,0,734,0,1646.949,0.001
could,,,114800,0,732,0,1640.389,0.001
imagine,,,113725,0,732,0,1625.024,0.001
talking,,,113365,0,734,0,1619.878,0.001
come,,,113168,0,733,0,1617.063,0.001
best,,,110771,0,730,0,1582.803,0.001
school,,,110615,0,734,0,1580.573,0.001
friend,,,108951,0,735,0,1556.791,0.001
yall,,,108649,0,729,0,1552.474,0.001
us,,,107858,0,731,0,1541.169,0.001
person,,,106842,0,735,0,1526.648,0.001
won,,,105798,0,731,0,1511.727,0.001
en,,,105252,0,729,0,1503.923,0.001
nitro,,,105111,0,722,0,1501.908,0.001
cute,,,105015,0,725,0,1500.536,0.001
thanks,,,104674,0,733,0,1495.662,0.001
game,,,104237,0,728,0,1489.416,0.001
many,,,104092,0,731,0,1487.344,0.001
dm,,,104081,0,734,0,1487.187,0.001
cool,,,103897,0,733,0,1484.557,0.001
help,,,103762,0,736,0,1482.628,0.001
wow,,,103688,0,731,0,1481.57,0.001
always,,,103656,0,734,0,1481.113,0.001
very,,,102599,0,735,0,1466.006,0.001
ya,,,102118,0,731,0,1459.131,0.001
level,,,102049,0,728,0,1458.145,0.001
yea,,,101429,0,732,0,1449.284,0.001
thought,,,100558,0,734,0,1436.836,0.001
maybe,,,100508,0,733,0,1436.121,0.001
getting,,,98888,0,733,0,1412.968,0.001
call,,,97048,0,731,0,1386.671,0.001
bye,,,96393,0,730,0,1377.31,0.001
into,,,96280,0,733,0,1375.695,0.001
way,,,95850,0,733,0,1369.55,0.001
guy,,,95830,0,732,0,1369.264,0.001
friends,,,95649,0,733,0,1366.677,0.001
thank,,,95436,0,732,0,1363.633,0.001
cause,,,95080,0,732,0,1358.545,0.001
today,,,94336,0,735,0,1347.913,0.001
haven,,,93826,0,734,0,1340.624,0.001
pretty,,,93556,0,730,0,1336.765,0.001
read,,,93281,0,732,0,1332.835,0.001
non,,,93078,0,730,0,1329.934,0.001
which,,,92979,0,733,0,1328.519,0.001
life,,,92926,0,734,0,1327.762,0.001
long,,,92675,0,732,0,1324.174,0.001
off,,,91894,0,733,0,1313.013,0.001
already,,,91536,0,732,0,1307.896,0.001
made,,,91354,0,733,0,1305.295,0.001
over,,,91307,0,731,0,1304.624,0.001
dude,,,91052,0,730,0,1300.979,0.001
ever,,,90670,0,732,0,1295.52,0.001
remember,,,90486,0,733,0,1292.891,0.001
fine,,,90116,0,733,0,1287.603,0.001
change,,,89843,0,730,0,1283.701,0.001
ask,,,89764,0,733,0,1282.572,0.001
z,,,89375,0,729,0,1277.013,0.001
bot,,,88516,0,728,0,1264.737,0.001
kinda,,,88498,0,732,0,1264.48,0.001
itn,,,88007,0,733,0,1257.463,0.001
mod,,,87912,0,724,0,1256.105,0.001
role,,,87425,0,727,0,1249.145,0.001
big,,,87263,0,730,0,1246.83,0.001
ping,,,87246,0,731,0,1246.587,0.001
stay,,,87212,0,732,0,1246.101,0.001
before,,,87028,0,731,0,1243.472,0.001
try,,,86698,0,733,0,1238.756,0.001
eat,,,86675,0,731,0,1238.427,0.001
god,,,86346,0,731,0,1233.725,0.001
sad,,,86286,0,734,0,1232.868,0.001
pls,,,86143,0,729,0,1230.824,0.001
ah,,,86048,0,731,0,1229.466,0.001
fun,,,85705,0,731,0,1224.565,0.001
their,,,84645,0,731,0,1209.416,0.001
owo,,,83639,0,721,0,1195.04,0.001
aubrey,,,83599,0,68,0,1194.468,0.001
tn,,,83363,0,733,0,1191.095,0.001
hope,,,83146,0,733,0,1187.994,0.001
after,,,83114,0,733,0,1187.537,0.001
saying,,,82871,0,733,0,1184.064,0.001
huh,,,82670,0,728,0,1181.192,0.001
probably,,,82656,0,733,0,1180.992,0.001
cuddle,,,82503,0,666,0,1178.805,0.001
wrong,,,82213,0,733,0,1174.661,0.001
down,,,81790,0,734,0,1168.616,0.001
slap,,,81568,0,720,0,1165.443,0.001
guess,,,81087,0,733,0,1158.57,0.001
oof,,,80806,0,730,0,1154.554,0.001
anything,,,80022,0,732,0,1143.35,0.001
imma,,,79785,0,729,0,1139.963,0.001
dead,,,79613,0,730,0,1137.505,0.001
seen,,,79351,0,729,0,1133.761,0.001
last,,,78880,0,734,0,1127.03,0.001
night,,,78740,0,730,0,1125.03,0.001
since,,,78034,0,731,0,1114.941,0.001
sn,,,77853,0,729,0,1112.354,0.001
cuz,,,77600,0,733,0,1108.738,0.001
used,,,77535,0,731,0,1107.81,0.001
hmm,,,77458,0,732,0,1106.709,0.001
uh,,,77187,0,730,0,1102.837,0.001
ahead,,,76720,0,719,0,1096.163,0.001
real,,,76698,0,731,0,1095.849,0.001
most,,,76523,0,732,0,1093.348,0.001
put,,,76326,0,732,0,1090.532,0.001
leave,,,76054,0,730,0,1086.646,0.001
isnt,,,76011,0,731,0,1086.031,0.001
keep,,,75903,0,733,0,1084.488,0.001
banned,,,75871,0,727,0,1084.03,0.001
song,,,75733,0,728,0,1082.058,0.001
ive,,,75703,0,728,0,1081.63,0.001
li,,,75669,0,627,0,1081.144,0.001
ain,,,75269,0,728,0,1075.428,0.001
great,,,74798,0,732,0,1068.697,0.001
year,,,74468,0,730,0,1063.981,0.001
cat,,,74352,0,726,0,1062.323,0.001
happy,,,74351,0,733,0,1062.309,0.001
lot,,,73980,0,733,0,1057.008,0.001
dn,,,72623,0,730,0,1037.616,0.001
gn,,,72135,0,728,0,1030.642,0.001
find,,,71546,0,733,0,1022.225,0.001
hear,,,71498,0,731,0,1021.539,0.001
music,,,71401,0,728,0,1020.153,0.001
nothing,,,71183,0,733,0,1017.038,0.001
gigi,,,71044,0,168,0,1015.052,0.001
alright,,,70457,0,731,0,1006.664,0.001
left,,,70242,0,732,0,1003.591,0.001
road,,,69503,0,702,0,993.031,0.001
sound,,,69384,0,728,0,991.33,0.001
those,,,68760,0,734,0,982.414,0.001
word,,,68595,0,727,0,980.056,0.001
every,,,68379,0,732,0,976.969,0.001
dad,,,68272,0,730,0,975.44,0.001
enjoy,,,68254,0,729,0,975.183,0.001
called,,,68164,0,730,0,973.897,0.001
playing,,,68164,0,728,0,973.897,0.001
null,,,67891,0,166,0,969.996,0.001
ye,,,67827,0,728,0,969.081,0.001
another,,,67818,0,732,0,968.953,0.001
our,,,67215,0,733,0,960.336,0.001
stuff,,,67127,0,729,0,959.078,0.001
un,,,66900,0,730,0,955.835,0.001
literally,,,66754,0,731,0,953.748,0.001
live,,,65884,0,730,0,941.316,0.001
while,,,65722,0,732,0,939.001,0.001
else,,,65691,0,732,0,938.558,0.001
hot,,,65678,0,728,0,938.373,0.001
hate,,,65523,0,730,0,936.158,0.001
aren,,,65181,0,729,0,931.271,0.001
yesn,,,65088,0,730,0,929.942,0.001
staff,,,64912,0,721,0,927.427,0.001
check,,,64655,0,728,0,923.754,0.001
hard,,,64583,0,733,0,922.725,0.001
buy,,,64384,0,726,0,919.882,0.001
though,,,63941,0,735,0,913.552,0.001
tf,,,63736,0,729,0,910.622,0.001
roles,,,62746,0,726,0,896.476,0.001
things,,,62617,0,734,0,894.632,0.001
gotta,,,62431,0,732,0,891.974,0.001
weird,,,62341,0,732,0,890.688,0.001
trying,,,62193,0,732,0,888.574,0.001
saw,,,61977,0,729,0,885.487,0.001
hm,,,61891,0,729,0,884.258,0.001
doesnt,,,61871,0,731,0,883.972,0.001
mute,,,61840,0,722,0,883.529,0.001
next,,,61646,0,732,0,880.757,0.001
wants,,,61022,0,729,0,871.841,0.001
free,,,61012,0,730,0,871.698,0.001
av,,,60881,0,663,0,869.826,0.001
fr,,,60660,0,726,0,866.668,0.001
nn,,,60584,0,729,0,865.582,0.001
wasn,,,60554,0,730,0,865.153,0.001
damn,,,60377,0,732,0,862.624,0.001
simp,,,60085,0,614,0,858.452,0.001
jb,,,60054,0,183,0,858.009,0.001
might,,,59910,0,732,0,855.951,0.001
klutz,,,59832,0,86,0,854.836,0.001
having,,,59764,0,734,0,853.865,0.001
ship,,,58979,0,726,0,842.648,0.001
mine,,,58902,0,730,0,841.547,0.001
says,,,58860,0,732,0,840.947,0.001
rules,,,58600,0,723,0,837.232,0.001
welcomen,,,58483,0,692,0,835.56,0.001
true,,,58292,0,732,0,832.831,0.001
two,,,58274,0,731,0,832.574,0.001
youn,,,58245,0,729,0,832.159,0.001
type,,,58029,0,730,0,829.073,0.001
phone,,,58001,0,731,0,828.673,0.001
hours,,,57821,0,731,0,826.101,0.001
once,,,57506,0,731,0,821.6,0.001
listen,,,57361,0,728,0,819.528,0.001
done,,,57322,0,732,0,818.971,0.001
hes,,,57183,0,728,0,816.984,0.001
main,,,56906,0,727,0,813.026,0.001
morning,,,56867,0,731,0,812.469,0.001
days,,,56749,0,732,0,810.783,0.001
youre,,,56618,0,729,0,808.911,0.001
btw,,,56345,0,729,0,805.01,0.001
yui,,,56260,0,508,0,803.796,0.001
ppl,,,56201,0,731,0,802.953,0.001
told,,,56023,0,732,0,800.409,0.001
years,,,55979,0,733,0,799.78,0.001
yet,,,55958,0,731,0,799.48,0.001
hru,,,55780,0,717,0,796.937,0.001
looks,,,55417,0,730,0,791.75,0.001
english,,,55271,0,730,0,789.664,0.001
voice,,,55218,0,728,0,788.906,0.001
spam,,,54971,0,724,0,785.377,0.001
show,,,54804,0,733,0,782.991,0.001
warn,,,54766,0,719,0,782.448,0.001
girls,,,54644,0,730,0,780.705,0.001
food,,,54492,0,728,0,778.533,0.001
happened,,,53879,0,730,0,769.774,0.001
care,,,53702,0,731,0,767.244,0.0
skrrt,,,53502,0,241,0,764.387,0.0
little,,,53438,0,731,0,763.472,0.0
heard,,,53279,0,731,0,761.2,0.0
ape,,,53216,0,445,0,760.3,0.0
money,,,53161,0,727,0,759.514,0.0
watching,,,52945,0,728,0,756.428,0.0
away,,,52785,0,733,0,754.142,0.0
ik,,,52680,0,732,0,752.641,0.0
myself,,,52674,0,735,0,752.556,0.0
head,,,52380,0,730,0,748.355,0.0
boy,,,52188,0,728,0,745.611,0.0
makes,,,51988,0,732,0,742.753,0.0
bit,,,51727,0,732,0,739.024,0.0
bc,,,51486,0,729,0,735.581,0.0
lmaon,,,51416,0,727,0,734.58,0.0
q,,,51263,0,727,0,732.394,0.0
couldn,,,51171,0,726,0,731.08,0.0
went,,,51071,0,731,0,729.651,0.0
leo,,,50901,0,510,0,727.222,0.0
shaved,,,50734,0,454,0,724.835,0.0
funny,,,50372,0,729,0,719.663,0.0
lil,,,50075,0,725,0,715.419,0.0
mom,,,50061,0,731,0,715.219,0.0
black,,,49746,0,727,0,710.718,0.0
water,,,49640,0,728,0,709.204,0.0
start,,,49549,0,732,0,707.903,0.0
times,,,49103,0,732,0,701.531,0.0
wish,,,49066,0,728,0,701.002,0.0
these,,,48987,0,731,0,699.873,0.0
kai,,,48688,0,537,0,695.601,0.0
own,,,48679,0,733,0,695.472,0.0
theres,,,48579,0,727,0,694.044,0.0
around,,,47986,0,732,0,685.57,0.0
ni,,,47804,0,731,0,682.97,0.0
yn,,,47764,0,726,0,682.398,0.0
face,,,47624,0,732,0,680.398,0.0
sounds,,,47620,0,730,0,680.341,0.0
wanted,,,47473,0,735,0,678.241,0.0
lets,,,47266,0,730,0,675.283,0.0
making,,,47231,0,732,0,674.783,0.0
online,,,47211,0,731,0,674.497,0.0
both,,,47172,0,732,0,673.94,0.0
games,,,47037,0,726,0,672.011,0.0
afk,,,46923,0,720,0,670.382,0.0
speak,,,46693,0,733,0,667.096,0.0
channel,,,46559,0,729,0,665.181,0.0
uwu,,,46509,0,719,0,664.466,0.0
wont,,,46260,0,732,0,660.909,0.0
wouldn,,,45823,0,729,0,654.665,0.0
ty,,,45820,0,729,0,654.622,0.0
dms,,,45816,0,729,0,654.565,0.0
hmmm,,,45749,0,727,0,653.607,0.0
almost,,,45730,0,732,0,653.336,0.0
ima,,,45654,0,724,0,652.25,0.0
break,,,45591,0,730,0,651.35,0.0
question,,,45164,0,729,0,645.249,0.0
pic,,,45024,0,726,0,643.248,0.0
means,,,44985,0,733,0,642.691,0.0
yourself,,,44845,0,733,0,640.691,0.0
ball,,,44770,0,724,0,639.619,0.0
miss,,,44738,0,728,0,639.162,0.0
tired,,,44492,0,730,0,635.647,0.0
hn,,,44367,0,730,0,633.861,0.0
enough,,,44344,0,731,0,633.532,0.0
watched,,,44163,0,730,0,630.946,0.0
thatn,,,44065,0,729,0,629.546,0.0
everything,,,43988,0,734,0,628.446,0.0
bob,,,43980,0,692,0,628.331,0.0
class,,,43930,0,728,0,627.617,0.0
forgot,,,43581,0,728,0,622.63,0.0
post,,,43324,0,724,0,618.958,0.0
world,,,43237,0,729,0,617.715,0.0
bed,,,43212,0,728,0,617.358,0.0
baby,,,43142,0,727,0,616.358,0.0
without,,,42870,0,729,0,612.472,0.0
lvl,,,42547,0,721,0,607.856,0.0
add,,,42529,0,731,0,607.599,0.0
joke,,,42455,0,730,0,606.542,0.0
ago,,,42099,0,733,0,601.455,0.0
home,,,41876,0,728,0,598.269,0.0
bored,,,41821,0,725,0,597.483,0.0
kids,,,41681,0,727,0,595.483,0.0
th,,,41674,0,727,0,595.383,0.0
message,,,41575,0,729,0,593.968,0.0
soon,,,41378,0,733,0,591.154,0.0
reason,,,41252,0,729,0,589.353,0.0
whole,,,40861,0,732,0,583.767,0.0
may,,,40840,0,731,0,583.467,0.0
mind,,,40836,0,731,0,583.41,0.0
okn,,,40756,0,730,0,582.267,0.0
least,,,40596,0,733,0,579.98,0.0
age,,,40496,0,729,0,578.552,0.0
chill,,,40480,0,729,0,578.323,0.0
ohn,,,40450,0,727,0,577.894,0.0
different,,,40399,0,732,0,577.166,0.0
milk,,,40374,0,724,0,576.809,0.0
tried,,,40355,0,731,0,576.537,0.0
gets,,,40317,0,729,0,575.994,0.0
active,,,40226,0,726,0,574.694,0.0
kind,,,40217,0,732,0,574.565,0.0
smh,,,40114,0,724,0,573.094,0.0
rip,,,40069,0,728,0,572.451,0.0
end,,,40058,0,731,0,572.294,0.0
marry,,,40024,0,718,0,571.808,0.0
havent,,,39779,0,731,0,568.307,0.0
eh,,,39753,0,726,0,567.936,0.0
using,,,39643,0,728,0,566.364,0.0
whos,,,39577,0,724,0,565.421,0.0
tbh,,,39380,0,731,0,562.606,0.0
drink,,,39302,0,729,0,561.492,0.0
anyways,,,39199,0,727,0,560.02,0.0
later,,,38986,0,729,0,556.977,0.0
mods,,,38920,0,723,0,556.034,0.0
found,,,38874,0,732,0,555.377,0.0
came,,,38801,0,732,0,554.334,0.0
kid,,,38743,0,727,0,553.505,0.0
asked,,,38707,0,729,0,552.991,0.0
heren,,,38632,0,729,0,551.919,0.0
part,,,38575,0,728,0,551.105,0.0
bet,,,38535,0,728,0,550.533,0.0
woah,,,38481,0,723,0,549.762,0.0
nico,,,38381,0,537,0,548.333,0.0
looking,,,38336,0,728,0,547.69,0.0
asking,,,38330,0,729,0,547.604,0.0
point,,,38268,0,731,0,546.718,0.0
pain,,,38058,0,731,0,543.718,0.0
muted,,,37823,0,723,0,540.36,0.0
video,,,37691,0,728,0,538.474,0.0
minecraft,,,37650,0,725,0,537.888,0.0
few,,,37641,0,730,0,537.76,0.0
lost,,,37559,0,729,0,536.588,0.0
nown,,,37455,0,730,0,535.102,0.0
fight,,,37305,0,725,0,532.959,0.0
ew,,,37283,0,721,0,532.645,0.0
high,,,37261,0,729,0,532.33,0.0
anymore,,,36890,0,732,0,527.03,0.0
sent,,,36875,0,726,0,526.815,0.0
john,,,36763,0,685,0,525.215,0.0
understand,,,36719,0,733,0,524.586,0.0
hair,,,36569,0,728,0,522.443,0.0
place,,,36350,0,731,0,519.314,0.0
birthday,,,36320,0,727,0,518.886,0.0
hbu,,,36232,0,721,0,517.628,0.0
joined,,,36094,0,727,0,515.657,0.0
hit,,,36056,0,727,0,515.114,0.0
kill,,,36010,0,729,0,514.456,0.0
close,,,36004,0,728,0,514.371,0.0
until,,,35968,0,730,0,513.856,0.0
sometimes,,,35912,0,729,0,513.056,0.0
dog,,,35690,0,727,0,509.884,0.0
gone,,,35627,0,731,0,508.984,0.0
gg,,,35546,0,715,0,507.827,0.0
shes,,,35515,0,728,0,507.384,0.0
rank,,,35510,0,722,0,507.313,0.0
aight,,,35378,0,726,0,505.427,0.0
daddy,,,35206,0,720,0,502.969,0.0
gang,,,35012,0,718,0,500.197,0.0
started,,,34997,0,729,0,499.983,0.0
played,,,34980,0,728,0,499.74,0.0
cry,,,34923,0,730,0,498.926,0.0
believe,,,34901,0,730,0,498.611,0.0
movie,,,34836,0,726,0,497.683,0.0
wdym,,,34755,0,728,0,496.525,0.0
hin,,,34753,0,722,0,496.497,0.0
sup,,,34742,0,720,0,496.34,0.0
either,,,34689,0,731,0,495.582,0.0
whatn,,,34646,0,727,0,494.968,0.0
late,,,34531,0,731,0,493.325,0.0
emote,,,34419,0,721,0,491.725,0.0
gay,,,34357,0,720,0,490.839,0.0
gotmilk,,,34275,0,51,0,489.667,0.0
allowed,,,34215,0,728,0,488.81,0.0
house,,,34206,0,730,0,488.682,0.0
took,,,33995,0,729,0,485.667,0.0
um,,,33949,0,727,0,485.01,0.0
goodn,,,33834,0,729,0,483.367,0.0
yay,,,33788,0,726,0,482.709,0.0
mad,,,33773,0,728,0,482.495,0.0
sing,,,33764,0,724,0,482.366,0.0
aint,,,33746,0,727,0,482.109,0.0
riley,,,33570,0,217,0,479.595,0.0
son,,,33269,0,726,0,475.294,0.0
hiii,,,33255,0,723,0,475.094,0.0
messages,,,33237,0,727,0,474.837,0.0
servers,,,32986,0,724,0,471.251,0.0
oop,,,32918,0,716,0,470.279,0.0
meant,,,32831,0,728,0,469.036,0.0
week,,,32484,0,730,0,464.079,0.0
job,,,32422,0,729,0,463.193,0.0
pm,,,32398,0,724,0,462.85,0.0
id,,,32289,0,729,0,461.292,0.0
nope,,,32093,0,725,0,458.492,0.0
half,,,31894,0,729,0,455.649,0.0
nvm,,,31862,0,730,0,455.192,0.0
pay,,,31831,0,726,0,454.749,0.0
hai,,,31765,0,716,0,453.806,0.0
kn,,,31691,0,726,0,452.749,0.0
account,,,31684,0,723,0,452.649,0.0
pc,,,31635,0,726,0,451.948,0.0
