type,pos,headword,freq_tar,freq_ref,range_tar,range_ref,likelihood,effect,lower_word,word,category,subcategory,source_file
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
e,,,2781181,0,734,0,39988.431,0.026,e,E,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
u,,,2420121,0,736,0,34767.615,0.022,u,U,ADJECTIVES,ADJ.PERT,WordNet Words & Phrases.txt
u,,,2420121,0,736,0,34767.615,0.022,u,U,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
u,,,2420121,0,736,0,34767.615,0.022,u,U,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
u,,,2420121,0,736,0,34767.615,0.022,u,U,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
u,,,2420121,0,736,0,34767.615,0.022,u,U,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
h,,,1660648,0,734,0,23814.667,0.015,h,H,NOUNS,NOUN.ATTRIBUTE,WordNet Words & Phrases.txt
h,,,1660648,0,734,0,23814.667,0.015,h,H,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
h,,,1660648,0,734,0,23814.667,0.015,h,H,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
h,,,1660648,0,734,0,23814.667,0.015,h,H,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,ADJECTIVES,ADJ.PERT,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,NOUNS,NOUN.ATTRIBUTE,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
r,,,1377264,0,735,0,19737.724,0.013,r,R,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
l,,,1320801,0,735,0,18926.055,0.012,l,L,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
l,,,1320801,0,735,0,18926.055,0.012,l,L,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
l,,,1320801,0,735,0,18926.055,0.012,l,L,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
like,,,1137753,0,735,0,16296.168,0.011,like,LIKE,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
like,,,1137753,0,735,0,16296.168,0.011,like,LIKE,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
like,,,1137753,0,735,0,16296.168,0.011,like,LIKE,VERBS,VERB.EMOTION,WordNet Words & Phrases.txt
im,,,1099153,0,736,0,15741.881,0.01,im,,,,
w,,,885471,0,735,0,12675.258,0.008,w,W,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
w,,,885471,0,735,0,12675.258,0.008,w,W,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
w,,,885471,0,735,0,12675.258,0.008,w,W,NOUNS,NOUN.RELATION,WordNet Words & Phrases.txt
w,,,885471,0,735,0,12675.258,0.008,w,W,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
g,,,796198,0,735,0,11394.974,0.007,g,G,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
g,,,796198,0,735,0,11394.974,0.007,g,G,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
g,,,796198,0,735,0,11394.974,0.007,g,G,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,NOUNS,NOUN.STATE,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
welcome,,,784070,0,729,0,11221.085,0.007,welcome,WELCOME,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,NOUNS,NOUN.TIME,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.COMPETITION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.CONSUMPTION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.EMOTION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
c,,,725707,0,735,0,10384.423,0.007,c,C,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
k,,,666716,0,734,0,9538.99,0.006,k,K,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
k,,,666716,0,734,0,9538.99,0.006,k,K,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
k,,,666716,0,734,0,9538.99,0.006,k,K,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
k,,,666716,0,734,0,9538.99,0.006,k,K,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
k,,,666716,0,734,0,9538.99,0.006,k,K,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,NOUNS,NOUN.ANIMAL,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,NOUNS,NOUN.GROUP,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.BODY,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.EMOTION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
b,,,630882,0,736,0,9025.545,0.006,b,B,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.BODY,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.COMPETITION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.EMOTION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
get,,,624800,0,736,0,8938.409,0.006,get,GET,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
oh,,,607688,0,734,0,8693.258,0.006,oh,OH,NOUNS,NOUN.LOCATION,WordNet Words & Phrases (Unambiguous).txt
good,,,604621,0,736,0,8649.321,0.006,good,GOOD,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
good,,,604621,0,736,0,8649.321,0.006,good,GOOD,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
good,,,604621,0,736,0,8649.321,0.006,good,GOOD,NOUNS,NOUN.ATTRIBUTE,WordNet Words & Phrases.txt
p,,,602859,0,734,0,8624.08,0.006,p,P,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
p,,,602859,0,734,0,8624.08,0.006,p,P,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.BODY,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.POSSESSION,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
f,,,587080,0,734,0,8398.049,0.005,f,F,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
yes,,,542445,0,734,0,7758.75,0.005,yes,YES,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases (Unambiguous).txt
dont,,,517848,0,735,0,7406.509,0.005,dont,,,,
know,,,483496,0,735,0,6914.638,0.004,know,KNOW,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
know,,,483496,0,735,0,6914.638,0.004,know,KNOW,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
one,,,469663,0,736,0,6716.592,0.004,one,ONE,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
one,,,469663,0,736,0,6716.592,0.004,one,ONE,NOUNS,NOUN.COGNITION,WordNet Words & Phrases.txt
one,,,469663,0,736,0,6716.592,0.004,one,ONE,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
hug,,,460708,0,724,0,6588.391,0.004,hug,HUG,NOUNS,NOUN.ACT,WordNet Words & Phrases.txt
hug,,,460708,0,724,0,6588.391,0.004,hug,HUG,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
hi,,,442385,0,732,0,6326.092,0.004,hi,HI,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
hi,,,442385,0,732,0,6326.092,0.004,hi,HI,NOUNS,NOUN.LOCATION,WordNet Words & Phrases.txt
ok,,,405439,0,735,0,5797.268,0.004,ok,OK,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
ok,,,405439,0,735,0,5797.268,0.004,ok,OK,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
ok,,,405439,0,735,0,5797.268,0.004,ok,OK,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
ok,,,405439,0,735,0,5797.268,0.004,ok,OK,NOUNS,NOUN.LOCATION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,NOUNS,NOUN.ACT,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,NOUNS,NOUN.TIME,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.COMPETITION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.CONSUMPTION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
go,,,405064,0,735,0,5791.901,0.004,go,GO,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
got,,,404171,0,736,0,5779.12,0.004,got,,,,
yeah,,,377811,0,734,0,5401.876,0.004,yeah,YEAH,ADVERBS,ADV.ALL,WordNet Words & Phrases (Unambiguous).txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,NOUNS,NOUN.FEELING,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,NOUNS,NOUN.OBJECT,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,NOUNS,NOUN.STATE,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,VERBS,VERB.CONSUMPTION,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,VERBS,VERB.EMOTION,WordNet Words & Phrases.txt
want,,,373366,0,736,0,5338.267,0.003,want,WANT,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
ur,,,364255,0,733,0,5207.89,0.003,ur,UR,NOUNS,NOUN.LOCATION,WordNet Words & Phrases (Unambiguous).txt
v,,,331291,0,735,0,4736.229,0.003,v,V,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
v,,,331291,0,735,0,4736.229,0.003,v,V,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
v,,,331291,0,735,0,4736.229,0.003,v,V,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
v,,,331291,0,735,0,4736.229,0.003,v,V,NOUNS,NOUN.SUBSTANCE,WordNet Words & Phrases.txt
people,,,326716,0,736,0,4670.774,0.003,people,PEOPLE,NOUNS,NOUN.GROUP,WordNet Words & Phrases.txt
people,,,326716,0,736,0,4670.774,0.003,people,PEOPLE,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
people,,,326716,0,736,0,4670.774,0.003,people,PEOPLE,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
guys,,,319615,0,732,0,4569.182,0.003,guys,,,,
think,,,314073,0,735,0,4489.896,0.003,think,THINK,NOUNS,NOUN.COGNITION,WordNet Words & Phrases.txt
think,,,314073,0,735,0,4489.896,0.003,think,THINK,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
think,,,314073,0,735,0,4489.896,0.003,think,THINK,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
think,,,314073,0,735,0,4489.896,0.003,think,THINK,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
wait,,,313943,0,734,0,4488.036,0.003,wait,WAIT,NOUNS,NOUN.ACT,WordNet Words & Phrases.txt
wait,,,313943,0,734,0,4488.036,0.003,wait,WAIT,NOUNS,NOUN.TIME,WordNet Words & Phrases.txt
wait,,,313943,0,734,0,4488.036,0.003,wait,WAIT,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
wait,,,313943,0,734,0,4488.036,0.003,wait,WAIT,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
wait,,,313943,0,734,0,4488.036,0.003,wait,WAIT,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
server,,,309344,0,734,0,4422.243,0.003,server,SERVER,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
server,,,309344,0,734,0,4422.243,0.003,server,SERVER,NOUNS,NOUN.PERSON,WordNet Words & Phrases.txt
well,,,305489,0,736,0,4367.095,0.003,well,WELL,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
well,,,305489,0,736,0,4367.095,0.003,well,WELL,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
well,,,305489,0,736,0,4367.095,0.003,well,WELL,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
well,,,305489,0,736,0,4367.095,0.003,well,WELL,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
well,,,305489,0,736,0,4367.095,0.003,well,WELL,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,ADVERBS,ADV.ALL,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,NOUNS,NOUN.LOCATION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.COMPETITION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.CONTACT,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.CREATION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.MOTION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.PERCEPTION,WordNet Words & Phrases.txt
see,,,301721,0,735,0,4313.192,0.003,see,SEE,VERBS,VERB.SOCIAL,WordNet Words & Phrases.txt
hey,,,293683,0,735,0,4198.208,0.003,hey,,,,
say,,,293379,0,734,0,4193.859,0.003,say,SAY,NOUNS,NOUN.STATE,WordNet Words & Phrases.txt
say,,,293379,0,734,0,4193.859,0.003,say,SAY,VERBS,VERB.COMMUNICATION,WordNet Words & Phrases.txt
say,,,293379,0,734,0,4193.859,0.003,say,SAY,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
wanna,,,292759,0,734,0,4184.99,0.003,wanna,,,,
time,,,287563,0,735,0,4110.664,0.003,time,TIME,NOUNS,NOUN.TOPS,WordNet Words & Phrases.txt
time,,,287563,0,735,0,4110.664,0.003,time,TIME,NOUNS,NOUN.ATTRIBUTE,WordNet Words & Phrases.txt
time,,,287563,0,735,0,4110.664,0.003,time,TIME,NOUNS,NOUN.EVENT,WordNet Words & Phrases.txt
time,,,287563,0,735,0,4110.664,0.003,time,TIME,NOUNS,NOUN.TIME,WordNet Words & Phrases.txt
time,,,287563,0,735,0,4110.664,0.003,time,TIME,VERBS,VERB.CHANGE,WordNet Words & Phrases.txt
time,,,287563,0,735,0,4110.664,0.003,time,TIME,VERBS,VERB.COGNITION,WordNet Words & Phrases.txt
x,,,275190,0,730,0,3933.681,0.003,x,X,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
x,,,275190,0,730,0,3933.681,0.003,x,X,NOUNS,NOUN.ARTIFACT,WordNet Words & Phrases.txt
x,,,275190,0,730,0,3933.681,0.003,x,X,NOUNS,NOUN.COMMUNICATION,WordNet Words & Phrases.txt
x,,,275190,0,730,0,3933.681,0.003,x,X,NOUNS,NOUN.QUANTITY,WordNet Words & Phrases.txt
need,,,274678,0,734,0,3926.358,0.003,need,NEED,NOUNS,NOUN.TOPS,WordNet Words & Phrases.txt
need,,,274678,0,734,0,3926.358,0.003,need,NEED,NOUNS,NOUN.OBJECT,WordNet Words & Phrases.txt
need,,,274678,0,734,0,3926.358,0.003,need,NEED,NOUNS,NOUN.STATE,WordNet Words & Phrases.txt
need,,,274678,0,734,0,3926.358,0.003,need,NEED,VERBS,VERB.CONSUMPTION,WordNet Words & Phrases.txt
need,,,274678,0,734,0,3926.358,0.003,need,NEED,VERBS,VERB.STATIVE,WordNet Words & Phrases.txt
mean,,,266221,0,734,0,3805.395,0.002,mean,MEAN,ADJECTIVES,ADJ.ALL,WordNet Words & Phrases.txt
mean,,,266221,0,734,0,3805.395,0.002,mean,MEAN,NOUNS,NOUN.COGNITION,WordNet Words & Phrases.txt
